,sa2_code,sa2_name,healthcare,break and enter,schools,accommodation,retail,liveability
0,102011028,Avoca Beach - Copacabana,0.058219028559144126,-1.2126532891881379,-0.3680552855980752,0.10783791893930812,-0.24424638898310227,0.6827434820385725
1,102011029,Box Head - MacMasters Beach,-0.18474312174122592,-1.0691518159855284,-0.264886638858036,-0.4560661885903549,-0.31938575020177323,0.461096322974345
2,102011030,Calga - Kulnura,-0.27211587075767957,-1.2126532891881379,6.555760285524729,-0.2563477101015922,0.37866683362927517,0.9995090203748538
3,102011031,Erina - Green Point,0.34237444070601475,-1.0423394013735452,0.44141334819015127,0.2150179943045486,0.5685930171816576,0.9314856901730258
4,102011032,Gosford - Springfield,0.34951835369564466,-0.7362170961544396,-0.17556467731668393,0.2332347594617438,0.33964606421746846,0.8150330638869968
5,102011033,Kariong,-0.2927014993788302,-1.0740720836821085,-0.611767921209212,-0.3295359901506565,-0.5153733200245055,0.3373096140249053
6,102011034,Kincumber - Picketts Valley,-0.021436484262237,-0.8317696317908226,-0.12559080750997087,-0.13785629754002718,-0.2688473142985718,0.5690653265832626
7,102011035,Narara,-0.30753669978548054,-0.4653914597554304,0.3221945737164306,-0.797264054615725,-0.6401146169154913,0.2774132244295034
8,115011555,Castle Hill - North,0.17549369387577476,-0.030291189808379075,-0.36364285412153596,0.14911975403343006,0.03521581937289723,0.5066190140510141
9,102011036,Niagara Park - Lisarow,-0.2517029159991863,-0.9374621377633533,0.3881945010787185,-0.581884880146381,-0.5777306587780848,0.47859763183243426
10,102011037,Point Clare - Koolewong,-0.13225314197650062,-1.2126532891881379,-0.3812134495805411,-0.6611629877698756,-0.4988213258797652,0.3867966242353852
11,102011038,Saratoga - Davistown,-0.2448926902818586,-1.2126532891881379,-0.536956259887646,-0.28268483603581285,-0.38843332218818344,0.4402090163726804
12,102011039,Terrigal - North Avoca,0.2833365059985109,-0.18766406301966754,-0.47598150412403023,0.28451329061321,-0.09661778968804403,0.5456015685183176
13,102011040,Umina - Booker Bay - Patonga,-0.26487130291390404,-0.8932640504308993,-0.9244795035299448,-0.257719930406086,-0.5439144343650609,0.2501671312026815
14,102011041,Wamberal - Forresters Beach,0.09078237292422942,-0.5415623819394041,0.09334604664667459,-0.22747814150895804,-0.3225384455465114,0.5438059519930167
15,102011042,Woy Woy - Blackwall,-0.265802381552764,-0.3537488911493084,-0.15692126781202756,0.08529157849146422,-0.3263602273721253,0.4231041437235296
16,102011043,Wyoming,-0.17239013948183587,-0.25123108765334273,-0.018664295179925752,-0.5077522821584188,-0.5039774878492357,0.2785725848895717
17,102021044,Bateau Bay - Killarney Vale,-0.2821066135220833,-0.7886569478115621,-0.7245710544561949,-0.5677755359547347,-0.598667402081236,0.20029307334396806
18,102021045,Blue Haven - San Remo,-0.3533899397142486,-0.9383173674888926,-0.35388059080129736,-0.6936627498218205,-0.7884602976941176,0.22251389722719556
19,102021046,Budgewoi - Buff Point - Halekulani,-0.34723043501449397,-0.5972973818981852,-0.36650312444838296,-0.5645443885475386,-0.5990351403575385,0.2175475500001069
20,102021047,Chittaway Bay - Tumbi Umbi,-0.23298512737182434,-1.1186808117980231,-0.17631081159675485,-0.5654338688708108,-0.415054826167681,0.43263612838641696
21,102021048,Gorokan - Kanwal - Charmhaven,-0.28274351607402803,-0.18936493707263333,-0.6545307023395591,-0.4698742937624986,-0.4643895180455928,0.15680792991112139
22,102021049,Jilliby - Yarramalong,-0.2154846344165925,-1.2093337699636726,3.5210202890568625,-0.41125068004458193,-0.3367190942915588,0.9773989744116272
23,102021050,Lake Munmorah - Mannering Park,-0.32972505753978565,-1.1153626815496747,-0.4348463766365365,-0.6189703492854984,-0.5749461335785867,0.3008769818190809
24,102021051,Ourimbah - Fountaindale,0.05219874721372184,-1.192479344028342,2.24414513084891,-0.37893257099960526,0.07574899773306891,0.9602902811083824
25,102021052,Summerland Point - Gwandalan,-0.27866332025372087,-1.0872518895939716,,-0.725557520466883,-0.570942273221404,
26,102021053,The Entrance,-0.2176744884809011,-0.46505820738085657,-0.34797046381823415,0.5617630493478611,-0.1410162896611447,0.5793632484789486
27,102021054,Toukley - Norah Head,-0.13347474697625308,-0.33742741685333616,-0.6093770491562659,-0.0874412074775971,-0.2375633699914322,0.32510060287120796
28,102021055,Tuggerah - Kangy Angy,0.054662439692370224,-1.005965674084025,0.8185809375345047,0.9830894982479111,0.9461786163148783,0.97829942797334
29,115011557,Castle Hill - West,0.17803526005455744,0.19429784116049134,-0.44860044360076023,-0.3273698525741171,-0.15604589509724198,0.27923110646283433
30,102021056,Warnervale - Wadalba,-0.22214244755391388,-1.1321382226951513,-0.17143451914894386,-0.689347074504067,-0.5157412410463555,0.3854385707321223
31,102021057,Wyong,-0.2226346819970958,-0.6766681180982235,-0.2905880954191465,0.9689553339668484,-0.27669322965800847,0.7017630370945219
32,115031299,Bilpin - Colo - St Albans,-0.35663158671966955,-1.2121204133761576,2.88813434107553,0.02046505822165827,-0.17457328891923093,0.973130200789805
33,115031300,Kurrajong Heights - Ebenezer,-0.25213104734630815,-1.2057158351137383,-0.1207607391820159,-0.3890345343164535,-0.3059294272041216,0.5344105401709266
34,115011290,Baulkham Hills (East),-0.08079079241639854,-0.24279502182699408,-0.5892136367253697,-0.29203993490794516,-0.25847834188084334,0.27334289340748186
35,115041301,Pitt Town - McGraths Hill,-0.2740544607963385,-1.1561934739401365,0.6734333247504554,-0.07293826887672356,0.15384800983637975,0.8370556847243102
