sa2_name,retail_ratio,accom_ratio,school_ratio,density,health_ratio,l_score,normalised,FINAL_SCORE
Rookwood Cemetery,3.0,0.0,8.0,-0.9950248756218905,0.0,10.00497512437811,-2.8803565893119147,0.05313319351039196
Centennial Park,0.0,0.0,9.0,-1.5162235924390983,0.0,7.483776407560901,-3.4144950734862096,0.03184551614763595
Blue Mountains - South,0.0,0.0,27.0,-0.0004070154319494008,0.0,26.99959298456805,0.7201051126608569,0.6726301631723381
Port Botany Industrial,9.0,3.0,6.0,-0.0,0.0,18.0,-1.186539104987821,0.23387848541857273
Blue Mountains - North,0.0,0.0,18.0,-0.0,0.0,18.0,-1.186539104987821,0.23387848541857273
Banksmeadow,26.0,9.0,6.0,-0.2968856693287415,0.0,40.703114330671255,3.6233186002902578,0.9740000971089864
Yennora Industrial,9.0,3.0,8.0,-0.481069899456391,0.0,19.51893010054361,-0.8647401860611561,0.2963499372642469
Royal National Park,0.0,3.0,17.0,-0.0,0.0,20.0,-0.7628212277642463,0.3180340607635018
Smithfield Industrial,33.0,9.0,9.0,-0.0,0.0,19.065150391845982,-0.9608774735094014,0.2767025444609694
Prospect Reservoir,21.0,11.0,17.0,-0.0,0.0,19.065150391845982,-0.9608774735094014,0.2767025444609694
Wetherill Park Industrial,86.0,29.0,8.0,-0.0,40.0,19.065150391845982,-0.9608774735094014,0.2767025444609694
Badgerys Creek,3.0,0.0,8.0,-0.0,0.0,11.0,-2.669551675270335,0.0647941299251518
Sydney Airport,0.0,0.0,10.0,-0.0,0.0,10.0,-2.881410613882123,0.05308019044372061
Chullora,51.42857142857142,11.428571428571427,9.0,-0.0,8.979591836734693,19.065150391845982,-0.9608774735094014,0.2767025444609694
Bilpin - Colo - St Albans,5.089058524173028,3.9985459832788077,13.0,-0.00046292865051993136,1.0905125408942202,23.177654119695536,-0.08960679869017518,0.4776132776119789
Lilli Pilli - Port Hacking - Dolans Bay,4.900459418070444,3.3690658499234303,3.0,-0.0,8.882082695252679,20.151607963246555,-0.7307017255857353,0.32504075746119443
Jilliby - Yarramalong,3.977272727272727,2.272727272727273,15.0,-0.0028837874048854815,3.409090909090909,24.656207121686023,0.2236378709928024,0.5556776064429118
Woronora Heights,3.2599837000814995,1.0866612333605,8.645533141210375,-0.0,2.9883183917413745,15.98049646639375,-1.614388980140396,0.16598015276876865
Strathfield South,9.006622516556291,4.503311258278146,9.0,-1.5928639694170117,6.0927152317880795,27.009785037205507,0.722264390114904,0.6731054561811849
Terrey Hills - Duffys Forest,7.37618545837724,6.059009483667018,13.513513513513512,-0.0,6.059009483667018,33.00771793922479,1.9929800886014295,0.8800580598307362
Acacia Gardens,6.9142125480153656,1.0243277848911652,4.273504273504273,-1.0564124234100993,3.329065300896287,14.48469748389699,-1.9312873649487514,0.12660815675469245
Putney,6.488991888760139,4.40324449594438,1.6792611251049538,-2.6326181387389758,13.673232908458862,23.612112279529356,0.002437045923448622,0.5006092611793189
Horsley Park - Kemps Creek,10.077186963979418,4.93138936535163,8.658008658008658,-0.0,3.644939965694683,27.31152495303439,0.7861906884192207,0.6870128128528753
Calga - Kulnura,8.882462301177442,2.8919644701507954,24.59016393442623,-0.0,2.4788266887006816,38.843417394455145,3.2293251812439188,0.9619230439770454
Ourimbah - Fountaindale,6.805444355484387,2.4019215372297835,10.964912280701753,-0.017525841853813447,7.8062449959967966,27.960997327558907,0.923787216343662,0.715813148268324
Regents Park,8.053942685896235,1.8730099269526128,6.574141709276844,-1.4760147601476012,3.9333208466004868,18.958400408578576,-0.9834934116612608,0.2721991646422285
Castle Hill - West,5.216095380029806,2.608047690014903,2.4554941682013505,-1.222269754934914,9.87332339791356,18.930690881224706,-0.9893639227158859,0.27103773313009255
Galston - Laughtondale,8.553365563406471,2.417255485310524,11.704462326261888,-0.0,5.20639642989959,27.881479804878474,0.9069407183875473,0.7123737313974403
Warragamba - Silverdale,5.189990732159408,2.4096385542168677,3.771213073538655,-0.0,1.4828544949026878,12.853696854817619,-2.2768294271006657,0.09306020443853856
Tuggerah - Kangy Angy,12.773722627737225,7.846715328467153,6.459948320413437,-0.17955706862312049,7.846715328467153,34.74754453646185,2.3615779048606313,0.9138501120800535
Blackheath - Megalong Valley,7.782101167315175,6.897771489211178,6.938421509106678,-0.01436610289290214,5.482844004244782,27.08677206698491,0.7385747805308416,0.6766841213965432
Castle Hill - East,4.5734388742304315,1.4072119613016711,8.130081300813009,-0.0,8.619173262972735,22.729905399317847,-0.18446636735417776,0.45401373537405176
Summerland Point - Gwandalan,2.3712737127371275,1.016260162601626,0.0,-0.10894076890394692,2.3712737127371275,5.649866819171935,-3.803025212392277,0.02181661745043315
Bargo,3.2165227695953953,1.6929067208396817,3.5928143712574854,-0.04426704834699464,2.3700694091755543,10.828046222521122,-2.705981620057298,0.06262131566853131
Wentworth Falls,5.108556832694764,3.8314176245210727,2.902757619738752,-0.0,6.066411238825031,17.90914331577962,-1.2057879056725374,0.2304471808977117
Point Clare - Koolewong,2.865785702913549,1.2736825346282439,2.66844563042028,-0.0,4.776309504855915,11.584223372817988,-2.5457787315929177,0.07271058628087079
Glenhaven,4.948198546466677,1.7009432503479203,6.119951040391677,-0.5531814850156965,9.896397092933354,22.11230844512393,-0.3153098025595744,0.42181920823273933
Warwick Farm,4.1731066460587325,1.2364760432766615,8.51063829787234,-0.6451335426433272,1.3910355486862442,14.666122993250651,-1.8928507490999817,0.1309197704074801
